MonthlyCharge,Bandwidth_GB_Year,StreamingTV,Age
159.9794,1075.372195,0,29
179.9476,5130.859668,0,21
200.1323,1280.101622,1,74
174.9699,2587.895755,0,53
129.9598,1301.156073,0,45
139.965,3953.160859,0,22
172.4624,6008.369934,1,67
232.6228,828.1128045,1,77
182.4608,998.0645117,0,23
235.1591,6528.295974,1,40
187.6422,823.4333368,1,36
162.446995,1668.779606,0,55
242.6281,6291.368213,1,29
79.97886,5433.040814,0,38
159.9642,5328.076501,1,25
179.9794,5867.544803,0,80
137.4686,4980.936045,0,61
230.1344,1235.041233,1,55
137.4392,3529.172638,1,55
202.6362,2436.72717,1,37
220.1615,6077.760962,1,87
220.1615,5147.808018,1,68
225.132,5385.589638,1,53
124.960655,2409.195918,0,41
169.9928,957.1118873,0,57
114.9509,1653.932692,0,61
172.473314,1436.793746,1,56
92.45514,709.6900125,0,73
149.9928,5553.7371,0,20
134.9509,5334.066746,0,64
197.472533,1404.435534,1,89
194.9882,3850.583581,0,40
92.45514,1923.285458,0,23
169.9671,4420.056022,0,75
112.455141,667.4764252,0,63
162.447,5630.968528,0,81
230.1344,5445.458747,1,32
147.4564,1153.463764,0,38
92.5018,5399.269987,0,61
182.4653,2371.07361,0,28
127.4421,5551.218207,0,64
200.118516,1330.988714,1,21
124.9935,1438.429891,0,40
174.9755,5909.336061,1,62
184.9496,6428.811386,1,23
149.9741,5652.677937,0,59
169.9928,5691.599692,0,85
104.9643,1399.828665,0,85
127.4738,783.7920101,0,63
154.9618,5452.591282,1,60
147.4564,6243.093544,0,47
262.610632,831.5573687,1,65
124.9643,5738.755668,0,86
240.1149,4549.059635,1,40
174.9768,6004.110633,1,28
92.48802,5665.272905,0,40
169.9447,5352.201748,1,88
172.4624,786.1863432,1,78
162.4608,1908.654798,0,35
142.452604,2138.553831,1,28
182.4676,1453.840704,1,25
169.9447,4975.669515,1,43
190.127,1621.897996,1,35
182.4608,5696.625474,0,36
157.469817,427.3743388,0,78
184.9496,4998.863127,1,84
152.5022,716.6438092,0,57
147.4783,837.0503656,0,55
142.5007,6444.124341,0,68
149.9913,711.8546388,1,68
190.1599,1161.691491,1,56
182.443347,1248.345698,0,88
257.6375,5920.52411,1,24
165.0182,4423.213665,1,37
192.4404,606.098118,1,80
184.9963,627.2429503,1,76
210.1051,4472.564662,1,62
104.9643,6215.161258,0,60
190.12704,1751.02003,1,52
114.9976,252.1141473,0,86
257.684139,1018.848617,1,47
159.965,1039.286045,0,30
184.967019,1196.870152,1,42
229.9931,5913.740403,0,74
127.525,1339.377921,0,72
222.6143,4723.125316,1,40
124.964303,649.8383392,0,75
235.1372,6131.039453,1,64
197.484,1173.915894,0,53
267.6427,6012.6506,1,21
240.114868,1781.854862,1,67
149.9483,505.5009987,1,53
172.4733,624.0528147,1,87
172.4441,5084.889707,1,46
225.1457,6502.025208,1,70
125.0073,5280.455768,0,82
94.97283,6253.491089,0,38
162.5119,5066.909377,0,77
147.4421,5087.668651,0,21
160.00128,688.7644008,0,48
182.447,573.1171783,0,72
162.4713,4826.3573,1,27
174.9768,917.029715,1,82
164.9889,6243.772617,1,57
104.962874,433.121911,1,70
107.4958,5796.100318,0,72
127.442069,1311.269805,0,20
232.6415,512.1675846,1,87
142.4526,4213.964063,1,32
157.4836,4720.413829,0,37
117.485813,776.4780765,1,34
92.45514,6175.153891,0,44
147.4738,814.9942633,0,64
117.485813,1223.869565,1,65
172.4742,3921.432791,0,58
225.145743,1917.60124,1,37
179.947583,1118.73994,0,19
159.9942,5690.994186,0,41
137.4686,3145.639435,0,86
202.4433,6339.601147,0,25
157.4698,4356.229848,0,74
159.9656,5772.977508,0,51
194.988208,868.9523115,0,23
147.4421,707.2606071,0,41
255.155493,1125.77426,1,71
172.4555,1056.212192,0,26
182.4538,537.4400071,1,88
220.1149,1553.818731,1,66
172.4567,6568.314412,0,68
175.1331,4797.122065,1,65
220.114868,1809.921626,1,55
194.976769,768.0341067,1,48
152.4555,6715.662535,0,46
192.470522,900.4043765,0,23
174.976769,1662.533055,1,75
152.495236,567.6177123,1,56
162.497,6174.276271,0,88
129.9621,4316.919681,1,44
129.9621,6483.815487,1,18
169.9671,5579.99579,0,20
222.6654,1623.298167,1,85
149.9598,492.3321314,0,53
162.4713,1447.576599,1,28
184.9496,6957.206381,1,18
152.466,655.4429632,1,86
137.4392,1388.786045,1,64
162.5007,538.9921729,0,84
184.967,5655.455765,1,69
179.9794,722.0495418,0,80
287.6427,924.9352116,1,84
192.440432,513.237305,1,84
182.490006,829.9759818,0,65
222.6792,5639.554704,1,79
197.4945,5504.661312,1,37
245.1457,2031.234186,1,24
240.1149,1570.153315,1,63
222.6792,6349.320467,1,37
240.114868,1363.832113,1,18
79.97886,4701.013371,0,39
202.4433,6392.972798,0,20
255.133571,2383.673575,1,24
174.9882,5580.901602,0,36
240.1149,4849.21743,1,64
187.4847,3798.942746,1,32
212.6415,4173.931741,1,60
139.934918,1698.876321,1,26
277.63748,1053.415573,1,54
212.6415,6863.899773,1,65
139.9792,6379.174333,0,75
197.4945,5807.061171,1,19
149.9447,1288.736573,1,56
162.497044,1501.32182,0,68
187.6094,6743.861668,1,50
94.97283,5509.83864,0,43
179.9656,490.2102038,0,37
242.610632,1680.337106,1,43
220.1478,736.3553892,1,31
162.482694,831.1303039,0,63
182.4676,4592.61237,1,75
184.9797,2258.203171,0,76
149.9776,5679.986847,1,22
235.1417,2654.737765,1,68
117.4858,4263.488866,1,30
220.1323,4783.40882,1,44
132.4798,6238.373858,1,54
255.119794,1585.705665,1,69
104.9923,4578.436559,0,85
137.4836,2060.606368,0,45
174.9755,703.1820621,1,28
195.0062,4947.739322,0,68
149.9378,4610.488208,0,72
149.9776,4815.434176,1,53
182.49,1301.393401,0,79
159.9794,1361.469601,0,60
174.9744,1436.32927,0,68
184.9634,1613.918447,1,31
222.6326,6618.320348,1,20
139.9568,756.3419475,1,55
129.994975,1038.488303,1,23
214.952509,1541.165921,0,55
232.641455,769.7818684,1,56
124.9607,1394.391376,0,69
147.4421,3451.316704,0,64
127.4586,5738.328374,1,74
230.1051,972.1523011,1,82
139.9349,5718.03878,1,55
159.983006,532.0660282,0,68
277.6513,1383.764044,1,32
212.641455,1092.959251,1,72
105.010962,1541.134986,0,42
220.1323,6052.322466,1,54
139.9349,4750.23799,1,38
184.9853,971.649096,1,53
149.9447,5841.516274,1,27
217.4702,1483.466725,0,63
220.132293,1218.124487,1,85
227.4754,856.9298283,0,37
207.6386,1132.054698,1,35
275.1336,960.0935745,1,22
147.4421,3788.474047,0,48
139.979239,1210.196851,0,76
212.6415,1214.128652,1,61
169.9671,1101.466816,0,66
147.4713,394.202773,0,58
159.9794,5658.119795,0,43
115.002061,708.2981607,0,44
220.132293,720.5035962,1,47
172.4742,5416.863521,0,70
232.6378,5649.459364,1,55
140.0049,6024.530188,0,67
137.4836,891.754556,0,67
127.458638,1503.123653,1,57
82.49655,320.9812888,0,47
184.9853,6201.748972,1,39
172.440432,1441.176168,1,88
104.9629,6038.002387,1,50
210.1518,5157.76159,1,48
137.4392,607.6047155,1,74
149.9778,5645.047981,0,45
162.4827,3998.697285,0,84
152.4555,6133.741768,0,61
179.9476,5449.331954,0,67
204.9496,4721.806173,1,54
159.9476,4696.771589,0,35
232.6228,879.1284854,1,47
152.510442,970.4333183,0,18
142.4689,1116.476714,0,19
262.6106,6210.2238,1,80
200.1323,6330.802447,1,31
149.992756,875.8840004,0,53
245.147,6368.414019,1,24
115.0021,4203.629126,0,86
169.9447,5573.580119,1,30
124.9607,1117.392471,0,58
137.4686,5896.604353,0,35
127.5112,3891.647782,0,89
142.5007,1435.659724,0,57
104.9629,5401.772294,1,30
172.4705,1083.905096,0,63
124.9781,4946.826952,0,34
187.6094,1683.120743,1,59
142.4855,5431.697734,1,61
114.9838,4810.255665,0,87
207.6094,1688.469176,1,51
142.452604,1495.554533,1,35
160.0013,5198.878568,0,24
210.138,6022.470272,1,71
129.9621,6172.3134,1,83
95.019486,1093.345316,0,32
137.4616,1247.334037,0,67
182.460772,723.0321035,0,34
147.4421,1438.080654,0,76
132.466002,1333.027522,1,20
182.4676,6100.606692,1,85
142.471255,985.5778302,1,21
127.4586,6136.653635,1,52
220.1149,1934.182617,1,38
202.4433,1572.076515,0,64
124.9643,2025.167432,0,36
142.482694,1467.273158,0,85
114.9658,1638.079725,0,36
232.6228,5011.057255,1,75
235.1372,5313.315024,1,68
159.965,5885.871902,0,40
210.138,724.7803356,1,74
92.5018,4997.254175,0,41
175.1331,4620.749694,1,60
129.9778,6490.921609,0,44
172.4871,1065.848768,1,70
197.4945,1484.886328,1,35
172.4624,1791.953298,1,60
139.9568,6036.967859,1,63
187.656,6187.589564,1,19
217.484,843.7651173,0,66
134.9801,5915.025109,0,70
172.47417,641.4963126,0,53
107.4806,4751.67301,1,80
139.95684,1116.314298,1,28
245.175,5231.660184,1,20
159.983,2265.62602,0,84
207.6094,4443.076355,1,48
192.4404,824.1074963,1,33
159.965,3798.956979,0,72
127.4421,1094.624835,0,38
124.9643,666.238562,0,39
149.9621,5542.688477,1,23
220.1149,5431.77178,1,35
159.983,6065.762988,0,20
245.1283,4420.771386,1,50
177.6508,921.6983239,1,26
212.6557,1237.129631,1,86
227.475448,1599.474597,0,49
164.988941,943.490788,1,65
222.6281,6944.850526,1,62
222.65,5131.088734,1,67
187.4974,6228.991967,0,32
240.1149,4435.063306,1,40
194.9663,2255.21511,0,48
152.4907,4907.861735,1,74
252.6378,5978.652711,1,24
139.9512,1209.707399,0,55
157.4698,5350.10612,0,24
204.9634,2380.995294,1,30
245.1283,1818.572601,1,42
92.455141,1571.397537,0,29
174.9744,4513.977095,0,50
184.9647,5807.53439,0,35
252.6378,5468.30764,1,49
192.4885,6074.839425,0,65
175.133074,1798.360928,1,56
187.4673,1324.19186,1,87
120.0049,639.623576,0,85
127.460067,746.9528584,0,21
175.133074,1581.016214,1,59
207.4673,4642.032276,1,54
232.6228,808.114485,1,75
197.6288,1045.005193,1,82
192.4705,4042.881848,0,86
152.4742,1262.175265,0,19
245.132,1403.556394,1,48
137.4684,975.6560108,1,76
169.9378,1767.444722,0,44
120.0035,1973.92172,1,78
152.4555,4853.390396,0,40
174.958118,2680.762173,1,74
114.9728,5771.534863,0,26
184.961,2580.274842,0,28
157.483594,1549.802896,0,27
257.6375,6760.900419,1,43
117.4872,777.0645087,0,34
192.440432,1088.288955,1,36
162.4526,5880.677411,1,27
95.01949,796.4508318,0,41
152.4884,4648.662738,0,54
172.4871,1011.014705,1,40
164.967,4463.694644,1,57
159.9512,3771.873422,0,58
182.4676,6166.262519,1,22
172.5104,769.9868737,0,37
169.9447,5367.181608,1,41
162.4608,6135.9085,0,62
174.976769,1805.011298,1,26
159.9349,3858.410287,1,59
162.4653,4397.21741,0,19
245.145743,1599.874839,1,59
192.4404,6342.143374,1,41
225.1457,2083.35956,1,44
139.9349,6206.523208,1,18
257.6513,6273.993497,1,76
174.9755,6343.939228,1,69
102.4746,5237.396005,0,89
152.4579,6116.781073,1,62
200.1465,1280.711037,1,25
232.624,5611.83506,1,53
139.981577,1939.811149,1,82
147.4421,5434.193829,0,22
210.1051,6317.996068,1,33
167.4564,1190.056958,0,36
114.9728,5329.635404,0,35
270.160419,1998.877156,1,86
174.9882,5258.0441,0,28
144.9607,5319.79287,0,87
159.947583,2054.706961,0,50
214.9663,4520.939364,0,36
197.6288,4017.55183,1,26
242.6326,6291.039364,1,71
220.1149,6246.864694,1,65
114.9976,5726.103148,0,58
179.9656,2196.794349,0,58
152.509,5429.301177,1,85
137.4684,5470.575506,1,57
240.1149,1145.096989,1,28
214.9663,5588.162385,0,55
149.9378,4969.700877,0,60
159.9875,5775.455429,0,41
172.4705,5922.604676,0,87
200.1185,2705.01162,1,42
127.4601,5562.842119,0,25
194.9663,1667.732624,0,59
197.6288,2696.777135,1,30
149.9483,5613.310447,1,80
129.9598,6235.95972,0,82
149.989,1604.504838,0,77
139.983,5531.532115,0,28
129.9778,6175.920386,0,44
117.4392,6210.252604,1,45
144.9607,4683.762963,0,44
245.128318,2072.564168,1,53
139.9349,1137.986536,1,34
204.961,6436.529978,0,24
147.4738,1198.110595,0,56
194.9699,5766.226735,0,79
174.9755,5547.950501,1,21
144.9607,433.9442354,0,83
154.9618,6632.42053,1,19
184.978458,1171.815364,0,66
184.9496,909.8932554,1,50
197.48762,1162.715411,0,86
222.6326,6626.798645,1,28
207.4974,6173.702221,0,19
137.4686,5328.678277,0,79
182.4676,695.0268746,1,25
225.1457,6078.532596,1,77
220.1615,1012.974384,1,40
137.4686,1688.294747,0,18
159.9476,1704.12272,0,83
245.175,4969.876754,1,74
197.4876,5979.686067,0,23
119.9568,4869.334092,1,33
227.4754,5684.35373,0,32
182.497,893.9429985,0,24
275.1336,4315.04425,1,85
179.9656,4940.355869,0,79
204.961033,673.2665835,0,59
137.4872,5769.653638,0,58
172.487091,1695.851887,1,22
197.494455,1136.118286,1,44
117.4858,5746.58453,1,66
162.4608,6185.878482,0,70
179.9656,4243.622875,0,61
152.4555,6256.189224,0,30
202.6362,2089.529125,1,87
127.442069,1968.581014,0,35
104.9923,6055.61999,0,28
162.5299,2110.79392,0,70
137.4616,4749.988334,0,85
157.469817,921.1401066,0,43
174.988208,1553.937724,0,27
139.9349,6483.348101,1,77
112.4551,4999.844929,0,86
242.6143,954.1842126,1,86
172.487091,2033.164639,1,23
137.4978,5880.876863,0,33
197.4945,2499.22788,1,63
142.4993,754.1266839,1,42
242.6106,2715.021658,1,35
265.1283,5629.15203,1,25
92.48802,1028.310241,0,26
112.4551,386.0205317,0,23
120.0035,745.7123774,1,36
104.9643,704.3641607,0,79
95.019486,876.3492188,0,81
200.1323,1892.444874,1,34
127.4738,6835.30081,0,42
159.965008,1325.529732,0,28
187.609354,1848.378413,1,82
184.9785,1796.010353,0,51
182.483267,2593.301866,0,30
129.977753,853.1123448,0,64
194.9992,6335.816115,0,37
200.1465,5771.07207,1,63
92.455141,2020.504216,0,19
210.127,973.9939163,1,82
127.4738,5135.275111,0,48
124.9643,4550.793265,0,46
137.439154,2278.858365,1,53
137.4872,1968.304495,0,23
165.0113,1670.49598,0,40
220.1323,968.8818009,1,64
255.137219,1577.915603,1,35
242.6281,1002.004764,1,46
174.9768,1855.223588,1,68
235.1555,6809.432261,1,54
107.5286,4661.218675,0,78
112.4844,1247.347617,0,20
177.4945,6123.254522,1,33
124.9935,4043.335333,0,22
127.4738,5381.978758,0,34
112.455141,1446.505628,0,57
174.9919,727.8878928,0,72
200.165175,768.0874545,1,46
194.958118,2419.797484,1,75
139.9568,5380.823835,1,18
172.4871,1178.372362,1,77
229.9931,5766.345962,0,46
240.1149,5487.492711,1,73
159.964152,730.6968601,1,26
194.966286,1503.682743,0,30
167.4564,1686.417922,0,35
104.9643,5967.092974,0,88
139.9816,5559.919752,1,71
194.9581,6308.688863,1,42
242.610632,1647.423104,1,87
187.656,6328.049165,1,87
92.488023,278.5411418,0,71
202.6362,6398.915423,1,77
164.9853,6195.495314,1,52
252.6378,5953.457873,1,62
140.0013,6599.191565,0,30
222.65,2196.073405,1,30
217.4725,6427.502592,1,28
139.9861,6104.192973,1,70
117.4392,5744.96728,1,67
230.1051,6359.455223,1,51
210.1563,5427.886371,1,37
217.472533,839.4587853,1,22
114.9509,6024.452028,0,35
172.4705,5450.025503,0,39
139.965,6619.456202,0,61
214.9663,1274.789671,0,62
169.9447,1811.777309,1,75
134.9509,5046.281771,0,40
164.9715,1905.720335,1,67
187.4673,1420.169187,1,36
144.9607,4643.404934,0,24
194.958118,658.4234711,1,34
127.4601,6000.414945,0,61
177.6508,1381.709993,1,18
107.495766,1561.294194,0,20
232.6378,6244.841283,1,59
137.487242,1096.780158,0,63
127.5067,609.1874835,0,75
124.97808,297.4433143,0,81
159.965,4106.326096,0,57
200.118516,1464.035068,1,41
139.987503,775.0343206,0,59
230.1344,4038.962601,1,39
149.9483,1165.681938,1,56
134.950905,380.0501404,0,80
235.1417,1617.064452,1,77
267.6647,2210.449566,1,27
174.991,5878.968323,1,79
172.4579,5350.192494,1,29
144.9607,6032.772687,0,37
182.4762,3928.137514,0,32
187.656,680.4074741,1,74
217.484,5857.586167,0,28
242.6106,2133.046997,1,20
139.951231,1103.633086,0,83
119.9897,4031.48686,1,22
275.133571,1057.571757,1,56
194.9882,4745.32751,0,64
149.9598,5718.105902,0,34
105.011,5530.817595,0,50
147.4421,3726.308369,0,77
199.990219,1806.970628,1,50
220.1323,5083.752685,1,82
154.9618,5824.155057,1,58
182.4433,1587.727149,0,64
149.9845,5614.743616,0,82
212.6228,1227.924743,1,34
124.9781,4729.636324,0,39
184.9785,5731.179041,0,32
245.132,2171.232828,1,54
212.6228,6090.318161,1,46
142.4713,5994.514316,1,82
169.9671,4543.502908,0,56
149.9707,5278.976104,0,40
232.624,6519.801796,1,47
230.1051,2095.701636,1,26
149.9741,1541.0921,0,30
119.9568,4478.070702,1,42
174.9768,1030.224777,1,83
220.1185,5471.244549,1,71
152.4624,1238.459696,1,45
210.1051,1923.446501,1,39
134.950905,323.972804,0,59
149.9778,6041.492692,0,69
139.9816,4560.745226,1,74
207.6386,5874.187965,1,47
172.4705,1547.513225,0,57
147.442069,944.3304649,0,38
124.9607,599.8774496,0,71
232.6378,6155.213641,1,70
137.483594,995.1098617,0,60
187.656013,1347.869205,1,35
255.1198,6511.608523,1,20
107.4958,5865.625146,0,28
172.4733,1284.333326,1,23
174.9755,1282.323667,1,42
117.4392,1058.643568,1,34
105.011,5616.475997,0,82
139.9861,2616.567484,1,22
184.9634,4863.46622,1,52
132.479779,1371.738945,1,44
257.6513,2509.367174,1,81
139.95684,989.9918587,1,20
92.5018,3739.86651,0,66
220.1323,5331.531612,1,28
174.9755,5634.80523,1,24
174.9768,5936.572086,1,37
95.01949,824.4079658,0,22
172.4555,5181.079994,0,80
129.9778,5646.886372,0,33
222.65,6144.675099,1,52
107.4806,4633.252261,1,73
137.4616,1129.873915,0,43
172.4404,6092.399467,1,85
139.9875,1459.899487,0,83
172.4885,2097.707886,0,55
152.4624,6037.703682,1,35
114.9658,6391.664046,0,24
210.138,6115.858738,1,74
222.665436,1940.626426,1,58
187.4974,1710.612591,0,18
267.642733,1662.510936,1,35
137.4872,5884.793295,0,88
257.6375,1900.983013,1,21
127.4601,4486.430136,0,49
192.4404,571.8948363,1,63
277.6375,3232.873635,1,25
139.965008,1647.38223,0,72
162.4526,1415.214639,1,47
92.45514,5443.98404,0,27
184.971516,806.2451255,1,37
252.6378,5165.616078,1,32
214.9525,2111.077001,0,37
187.656,1129.173931,1,24
