MonthlyCharge,Bandwidth_GB_Year,Age,StreamingMovies,StreamingTV
137.497825,1381.538548,63,0,0
134.980139,1248.626874,56,0,0
147.442069,558.3751762,27,1,0
197.494455,676.2178659,47,0,1
162.529926,1641.938696,42,0,0
210.151777,1811.964373,72,1,1
159.965581,1066.632555,58,0,0
190.173699,1514.131966,33,1,1
202.649979,1189.549671,87,1,1
134.950905,1114.020282,34,0,0
142.500692,1078.291303,76,0,0
114.997564,854.2977548,38,0,0
232.62403,1489.077486,47,1,1
242.628057,1649.312808,84,1,1
202.443347,905.1959227,19,1,0
124.993537,684.6318529,87,0,0
174.976769,1662.533055,75,0,1
225.145743,2436.57146,37,1,1
275.133571,2677.74041,52,1,1
287.642733,1779.309609,24,1,1
177.65076,1494.716409,83,1,1
220.114868,1740.72604,19,1,1
197.516854,704.7552669,78,1,0
194.974431,558.4710883,61,1,0
175.133074,1282.279049,38,1,1
147.478341,287.8189836,79,0,0
134.980139,1129.529441,49,0,0
157.483594,394.0148722,41,0,0
255.141716,1302.230824,75,1,1
137.439154,970.4682919,60,0,1
235.159141,2522.88913,70,1,1
147.460067,682.9871863,23,0,0
232.637807,1537.109931,84,1,1
137.439154,1961.923965,63,0,1
129.948316,676.1747964,88,0,1
242.632554,929.2607767,44,1,1
187.609354,1849.484087,49,1,1
232.652038,1998.680227,32,1,1
159.980465,1898.877878,69,1,0
159.947583,992.3501481,60,1,0
137.487242,994.6354785,57,0,0
245.131966,954.0290712,62,1,1
117.439154,1775.838153,26,0,1
209.993134,1297.050577,85,1,0
169.974105,1746.405243,82,0,0
197.470195,1698.465833,40,1,0
137.516476,665.4740915,50,0,0
207.475448,1886.153328,71,1,0
160.00128,958.6989908,48,0,0
147.478341,1446.203986,24,0,0
127.488728,774.6125757,79,1,0
139.981577,1939.811149,82,0,1
220.132293,1165.564309,68,1,1
214.952509,750.8768234,77,1,0
139.99789,1292.3206,19,1,0
270.160419,2335.130986,80,1,1
202.443347,769.8534863,31,1,0
172.47417,1729.837284,62,1,0
137.468388,649.3891796,80,0,1
104.962874,823.0046464,36,0,1
174.969934,1107.882056,72,1,0
139.99789,683.8622599,50,1,0
144.988941,1301.49424,31,0,1
114.997564,1079.012505,22,0,0
172.484753,1283.463995,50,1,0
124.97808,987.653655,28,0,0
174.991856,1088.263081,63,1,0
92.488023,583.0259559,73,0,0
139.965008,1778.733282,72,1,0
192.470522,900.4043765,23,1,0
220.118516,1693.576099,49,1,1
232.622804,1143.826239,82,1,1
210.156274,886.340074,72,1,1
114.972827,373.2772664,45,0,0
149.977753,1245.328696,73,0,0
184.985293,1564.936841,78,0,1
132.479779,1354.401018,71,0,1
190.12704,1971.429689,67,1,1
92.488023,623.7865683,43,0,0
220.114868,3040.553763,27,1,1
107.495766,864.7036995,39,0,0
169.967067,2042.113893,52,1,0
222.679213,1973.661316,19,1,1
200.132293,1755.645123,48,1,1
262.610632,1758.735654,22,1,1
152.495236,557.0118807,69,0,1
202.636202,2205.334092,31,1,1
127.478341,1451.201108,79,0,0
159.983006,609.0598401,65,0,0
124.960655,1221.100604,49,0,0
252.62403,745.0493094,69,1,1
104.97808,1220.452161,74,0,0
204.961033,1771.472597,27,1,0
245.145743,1201.484293,79,1,1
95.019486,764.3017535,41,0,0
169.937833,1022.415622,51,1,0
207.475448,1284.442486,57,1,0
114.983787,289.9240291,66,0,0
232.637807,1718.600163,85,1,1
225.131966,2494.633068,54,1,1
212.641455,2270.749222,79,1,1
152.495236,567.6177123,56,0,1
134.950905,380.0501404,80,0,0
200.132293,1436.408211,37,1,1
197.470195,1852.503069,24,1,0
192.456745,1312.008382,48,1,0
162.471255,863.0820861,68,0,1
222.660939,1854.793303,74,1,1
114.950905,1778.431765,37,0,0
182.446995,764.2419259,54,1,0
95.005709,307.018806,84,0,0
172.456745,1179.782483,68,1,0
177.65076,1040.034575,39,1,1
207.638588,1080.159892,85,1,1
220.118516,775.5613336,86,1,1
137.468388,1061.587971,70,0,1
159.965008,1334.403775,33,1,0
182.465269,2346.143947,58,1,0
129.977753,1491.768656,58,0,0
112.484375,927.1279646,42,0,0
127.488728,686.9354616,89,1,0
162.471255,1460.513443,63,0,1
154.961766,1942.250203,18,0,1
194.976769,1923.549943,82,0,1
192.48852,1239.802036,61,0,0
162.452604,2499.186161,36,0,1
107.48056,302.3848209,87,0,1
142.482694,1865.48625,48,1,0
165.018175,908.7910203,56,0,1
125.007314,790.9469893,57,0,0
139.987503,956.2636975,89,0,0
112.455141,639.3261343,30,0,0
212.622804,1572.045646,54,1,1
182.460772,3099.922244,55,1,0
159.947583,1599.727567,46,1,0
245.145743,2188.672399,18,1,1
149.977753,1586.699491,58,0,0
184.967019,1828.279015,60,0,1
92.455141,1866.966586,62,0,0
149.944668,1718.555203,30,0,1
167.456419,556.2193844,75,0,0
197.516854,1035.183038,23,1,0
152.488401,1580.43019,84,1,0
162.482694,703.6927423,61,1,0
262.610632,1842.258692,75,1,1
190.173699,1167.271182,72,1,1
187.513939,1007.289786,66,0,1
212.641455,1500.69101,81,1,1
104.964303,1404.773397,34,0,0
232.637807,1342.310858,82,1,1
142.499263,1250.94478,73,0,1
277.63748,1710.958869,28,1,1
112.455141,169.3992798,48,0,0
220.118516,1261.554565,53,1,1
139.951231,794.9581116,52,1,0
184.978458,713.364269,20,1,0
210.138,952.5914921,19,1,1
142.468917,778.6094503,70,1,0
160.00128,627.0001275,48,0,0
127.481989,2938.319116,28,0,0
162.452604,1566.001524,52,0,1
172.457857,1889.642423,77,0,1
255.155493,1420.771651,71,1,1
184.979684,1254.725693,22,1,0
175.006206,1570.345219,88,0,0
112.455141,500.4406927,25,0,0
194.958118,1563.848623,21,0,1
172.44408,787.0962355,39,0,1
200.165175,1119.610001,29,1,1
127.460067,1155.782468,22,0,0
147.478341,1995.346628,44,0,0
207.49737,922.1362066,74,1,0
169.937833,717.6823944,84,1,0
152.457857,2223.835601,65,0,1
162.460772,1143.685617,29,1,0
200.132293,1537.296207,51,1,1
182.460772,1614.544362,40,1,0
124.97808,758.8338668,49,0,0
230.105118,1317.766231,61,1,1
147.473844,1189.578203,61,0,0
142.482694,1467.273158,85,1,0
152.479779,2192.693797,25,0,1
105.010962,1568.47416,48,0,0
114.965789,1376.095043,86,1,0
184.978458,811.5600648,53,1,0
134.950905,243.2617759,88,0,0
182.490006,676.6465414,40,1,0
192.470522,801.4709595,23,1,0
149.962093,1316.145864,63,0,1
95.019486,1270.217581,28,0,0
245.174977,1339.709597,26,1,1
169.944668,1624.799349,22,0,1
207.49737,1400.834009,43,1,0
245.145743,1149.108155,70,1,1
127.478341,1387.016004,48,0,0
182.467607,544.12326,29,0,1
267.642733,1803.917571,61,1,1
104.992311,1518.747945,73,0,0
164.978458,1932.20577,27,1,0
240.114868,1886.312286,56,1,1
124.960655,1738.71901,19,0,0
127.442069,1060.026737,56,1,0
169.992756,250.9270047,83,0,0
169.992756,1916.832871,84,0,0
179.979358,573.9920618,62,0,0
134.950905,272.9823095,67,0,0
192.440432,1233.975771,21,0,1
172.440432,1552.772876,31,0,1
212.669463,1259.735294,25,1,1
175.133074,1287.821218,60,1,1
159.965008,1516.667438,84,1,0
112.484375,589.9932647,36,0,0
179.965581,1021.482609,87,0,0
252.62403,1267.634616,80,1,1
95.005709,1266.503765,34,0,0
240.114868,1877.852717,39,1,1
105.010962,1541.134986,42,0,0
182.45383,744.2470872,36,0,1
149.944668,2023.519366,18,0,1
144.960655,1428.427469,66,0,0
187.609354,1283.253595,20,1,1
129.962093,2256.776479,73,0,1
129.976324,955.0876357,83,0,1
192.440432,499.7170655,67,0,1
172.44408,1562.32774,62,0,1
117.485813,776.4780765,34,0,1
159.965008,1118.646915,28,1,0
167.484705,1781.692875,26,0,1
129.962093,1086.92093,82,0,1
139.981577,1551.398147,59,0,1
124.97808,573.751474,46,0,0
255.137219,1794.116848,44,1,1
230.105118,1103.594576,56,1,1
182.460772,3143.245184,32,1,0
255.155493,1381.802291,50,1,1
172.457857,1091.10126,53,0,1
137.483594,891.9472856,84,0,0
167.456419,538.1168657,33,0,0
127.495766,497.9042695,29,0,0
287.642733,1115.476658,87,1,1
167.456419,522.7315686,34,0,0
164.988941,961.5888385,34,0,1
242.632554,883.9008134,28,1,1
130.006414,565.3167155,68,1,0
257.63748,2062.605873,26,1,1
129.977753,1197.080651,61,0,0
232.622804,1972.725118,79,1,1
182.467607,1427.321538,49,0,1
220.132293,1218.124487,85,1,1
252.637807,1874.789062,25,1,1
142.452604,1806.007164,19,0,1
94.972827,1939.600904,28,0,0
210.105118,2275.888923,86,1,1
92.455141,1372.385193,54,0,0
194.969934,785.6266383,28,1,0
129.977753,1226.343895,25,0,0
242.628057,1047.361909,81,1,1
197.48762,893.5446642,89,1,0
242.610632,1210.047397,62,1,1
139.934918,2329.912456,31,0,1
112.455141,1163.407505,48,0,0
182.490006,736.9303356,22,1,0
149.988989,1134.880009,22,1,0
107.495766,1561.294194,20,0,0
92.455141,1216.325478,58,0,0
225.145743,1192.502878,81,1,1
232.62403,2140.402985,26,1,1
207.638588,867.2394016,89,1,1
175.133074,1581.016214,59,1,1
242.628057,724.6774743,75,1,1
184.964681,1123.971139,35,1,0
182.443347,2633.809472,28,1,0
117.485813,967.7426094,48,0,1
139.99789,2101.344074,29,1,0
149.937833,862.3199149,62,1,0
157.469817,921.1401066,43,0,0
152.510442,752.1641496,66,0,0
139.99789,522.7806578,56,1,0
139.951231,736.161108,73,1,0
117.439154,2148.889242,21,0,1
235.137219,1304.999684,48,1,1
149.977753,292.4731737,82,0,0
149.991327,655.3814577,22,0,1
149.97755,660.0908173,34,0,1
172.456745,1655.780173,56,1,0
137.439154,1090.76661,25,0,1
197.494455,1136.118286,44,0,1
204.961033,673.2665835,59,1,0
162.482694,831.1303039,63,1,0
159.964152,729.541703,76,0,1
169.974105,1163.701618,41,0,0
129.959755,1720.167182,25,1,0
119.989722,626.5880936,40,0,1
179.947583,369.7619068,77,1,0
167.456419,1197.180331,20,0,0
240.114868,1164.240281,53,1,1
194.976769,1651.424177,36,0,1
245.146969,1489.301457,86,1,1
139.987503,775.0343206,59,0,0
197.483972,1808.311421,26,1,0
190.173699,1942.452213,61,1,1
197.470195,2847.700412,27,1,0
149.974105,908.4356314,53,0,0
204.979684,973.4512833,32,1,0
152.502178,1097.703155,60,1,0
225.131966,2936.746847,25,1,1
202.636202,1883.962411,52,1,1
127.460067,1808.501398,32,0,0
162.482694,844.8711719,88,1,0
104.962874,1215.114995,59,0,1
169.937833,382.5347203,54,1,0
159.934918,1043.790368,83,0,1
217.470195,851.1414085,88,1,0
245.146969,1762.075547,68,1,1
177.48762,1350.716866,38,1,0
162.465269,1052.042079,23,1,0
147.456419,1159.678094,55,0,0
134.950905,338.2592054,43,0,0
127.442069,851.811469,61,1,0
184.978458,669.0040793,38,1,0
137.468388,910.210446,28,0,1
182.443347,1981.954133,84,1,0
172.487091,1695.851887,22,0,1
162.500692,1305.953642,34,0,0
137.439154,1950.886897,28,0,1
220.114868,1631.872719,83,1,1
159.994242,954.6181316,86,1,0
159.964152,957.753476,79,0,1
275.133571,1057.571757,56,1,1
194.958118,1277.521575,47,0,1
124.97808,327.6622533,84,0,0
92.455141,1193.589255,35,0,0
229.993134,1252.155771,26,1,0
147.478341,261.1185652,41,0,0
179.947583,879.6579171,50,1,0
175.006206,1080.597617,34,0,0
204.963371,1262.007891,22,0,1
210.12704,1713.178075,55,1,1
184.967019,1264.760574,80,0,1
200.118516,1356.299478,85,1,1
114.965789,386.0863102,58,1,0
134.980139,1299.066214,37,0,0
92.488023,278.5411418,71,0,0
137.483594,1014.311651,63,0,0
137.483594,1511.115195,47,0,0
207.638588,1795.270512,80,1,1
114.972827,551.1855922,26,0,0
207.609354,1051.833922,28,1,1
134.950905,567.3663629,38,0,0
240.114868,1614.036609,79,1,1
149.959755,771.6292755,48,1,0
134.950905,1329.158978,80,0,0
204.963371,1929.06738,66,0,1
149.977753,1845.830672,26,0,0
139.934918,909.6827162,56,0,1
197.628838,1084.807286,69,1,1
152.479779,1602.254193,73,0,1
139.95684,1435.057667,55,0,1
229.993134,729.7054333,32,1,0
142.471255,1290.274294,71,0,1
159.947583,1200.010955,26,1,0
240.114868,774.8506663,71,1,1
172.440432,1178.437008,51,0,1
169.967067,1321.193696,89,1,0
149.962093,821.4684599,58,0,1
134.950905,986.2673645,46,0,0
159.965008,587.538153,19,1,0
232.637807,1517.166558,18,1,1
149.962093,520.606284,78,0,1
184.963371,1138.169594,51,0,1
182.490006,829.9759818,65,1,0
159.951231,477.2500925,37,1,0
147.442069,944.3304649,38,1,0
242.632554,1499.600891,84,1,1
162.500489,524.9630078,43,0,1
172.457857,1035.02733,34,0,1
140.00128,1281.923094,48,0,0
144.988941,951.3512058,56,0,1
150.020764,894.626194,53,0,0
275.133571,1045.360604,55,1,1
130.006414,1829.923575,35,1,0
197.48762,838.8374504,18,1,0
149.984492,688.2231899,38,1,0
184.978458,927.5974127,55,1,0
207.609354,2031.266556,81,1,1
139.99789,1241.892931,55,1,0
220.132293,1662.516242,64,1,1
242.632554,857.6130334,80,1,1
154.991856,1640.244176,36,1,0
139.987503,991.424632,42,0,0
245.145743,2895.881802,44,1,1
187.609354,1396.347808,24,1,1
159.965008,640.3809858,39,1,0
192.440432,2072.694492,68,0,1
172.440432,1001.860025,83,0,1
204.961033,1669.613093,56,1,0
222.649979,878.627791,47,1,1
159.951231,558.9953054,59,1,0
159.965008,570.1301629,28,1,0
152.510442,1178.057753,81,0,0
187.656013,1219.21915,69,1,1
184.978458,1000.051774,77,1,0
127.481989,1233.889856,26,0,0
220.118516,2245.476461,47,1,1
162.482694,1243.478237,50,1,0
245.146969,1502.677072,46,1,1
162.465269,3249.417944,40,1,0
149.984492,764.893446,52,1,0
147.478341,708.0622854,68,0,0
184.963371,1075.001724,82,0,1
172.47417,847.7321161,83,1,0
200.132293,1967.957184,21,1,1
92.455141,1066.193338,43,0,0
214.966286,961.1315871,65,1,0
127.458638,1639.197703,82,0,1
120.003499,1200.853937,48,0,1
210.105118,2562.992759,79,1,1
142.500692,1766.503802,33,0,0
79.978861,333.3304389,37,0,0
137.468388,1561.128541,35,0,1
134.950905,323.972804,59,0,0
104.962874,1643.91894,44,0,1
102.474625,406.5230396,74,0,0
162.482694,932.1606254,31,1,0
159.994242,906.7867988,60,1,0
92.455141,1737.354579,18,0,0
255.155493,1986.939234,84,1,1
159.983006,532.0660282,68,0,0
169.944668,1014.45747,86,0,1
127.511223,871.2907856,73,0,0
95.019486,794.8748353,46,0,0
134.980139,949.785575,19,0,0
112.455141,1751.748167,27,0,0
92.455141,954.4058631,76,0,0
127.442069,1390.292533,56,1,0
129.962093,2283.692222,42,0,1
112.484375,625.2785223,76,0,0
212.641455,2129.856605,42,1,1
220.161527,1307.965782,32,1,1
149.937833,1554.416773,27,1,0
232.641455,1328.568048,74,1,1
192.470522,985.0943424,64,1,0
194.966286,1503.682743,30,1,0
114.965789,2253.839865,23,1,0
192.48852,586.1493754,44,0,0
152.479779,1813.614194,77,0,1
154.961766,1831.930109,78,0,1
124.97808,2580.979643,20,0,0
152.44408,930.6501084,53,0,1
232.641455,1561.283799,20,1,1
182.465269,491.8773506,82,1,0
242.610632,1300.689811,43,1,1
202.443347,1252.81737,38,1,0
117.487242,1511.1388,81,0,0
184.979684,2230.367018,34,1,0
240.114868,1885.438773,36,1,1
184.967019,947.6695867,38,0,1
127.458638,1025.701125,33,0,1
184.985293,1982.131752,66,0,1
277.63748,1780.791626,78,1,1
172.457857,700.0569426,80,0,1
194.966286,1924.891176,38,1,0
174.975543,704.1947645,80,0,1
149.937833,1207.740526,48,1,0
112.455141,1064.895012,20,0,0
149.959755,743.4780761,18,1,0
277.63748,1251.370845,49,1,1
112.484375,470.682278,80,0,0
117.439154,1112.686143,24,0,1
275.133571,2064.474901,87,1,1
147.456419,1716.888034,73,0,0
204.949594,1114.13669,76,0,1
127.474951,718.0624099,80,1,0
129.962093,800.1531959,89,0,1
242.610632,1680.337106,43,1,1
127.442069,1416.865765,50,1,0
104.964303,1573.289677,64,0,0
182.443347,1619.817463,49,1,0
159.947583,1596.707755,32,1,0
157.483594,908.0504522,31,0,0
129.948316,1449.202089,44,0,1
139.934918,1790.688379,52,0,1
222.649979,3113.451696,66,1,1
162.482694,907.2094936,54,1,0
125.007314,890.4483344,36,0,0
204.949594,2050.67636,61,0,1
139.965008,1338.110998,27,1,0
182.465269,920.3847194,89,1,0
104.992311,736.1743773,47,0,0
220.118516,857.7406243,81,1,1
154.991856,1226.543716,79,1,0
142.452604,1495.554533,35,0,1
147.442069,248.179366,88,1,0
124.97808,395.2218567,55,0,0
220.118516,1857.957041,34,1,1
117.439154,1663.371666,35,0,1
95.019486,318.0435078,43,0,0
162.482694,1386.813604,70,1,0
159.947583,1535.462356,50,1,0
104.97808,982.8832681,43,0,0
117.483475,1150.859858,69,1,0
172.484753,866.8410599,25,1,0
169.937833,1960.019242,88,1,0
147.473844,1788.145063,69,0,0
175.133074,1166.469107,43,1,1
195.006206,1559.679776,79,0,0
127.458638,1103.202075,86,0,1
245.145743,1207.841461,84,1,1
220.132293,2229.321043,78,1,1
147.442069,1708.75722,84,1,0
275.119794,830.61429,76,1,1
162.45383,991.7633623,74,0,1
124.964303,580.5443061,76,0,0
192.48852,586.7422583,55,0,0
104.97808,697.3086442,57,0,0
137.487242,1096.780158,63,0,0
124.97808,544.0000763,89,0,0
172.44408,1003.664665,46,0,1
114.972827,364.1402725,22,0,0
202.443347,1026.300872,81,1,0
159.983006,704.6408647,58,0,0
187.46728,1532.283357,48,0,1
157.469817,427.3743388,78,0,0
212.641455,1092.959251,72,1,1
172.470522,1587.044822,76,1,0
104.992311,886.3435693,41,0,0
134.950905,598.4998978,29,0,0
187.484705,1099.486982,88,0,1
149.988989,1657.822806,89,1,0
182.483267,2593.301866,30,0,0
210.105118,1345.804923,19,1,1
129.994975,752.9918959,87,0,1
194.974431,982.2094626,76,1,0
139.983006,1964.354824,69,0,0
262.610632,1509.912313,21,1,1
255.119794,1947.487826,26,1,1
192.470522,780.3612617,72,1,0
114.950905,868.469474,66,0,0
129.99153,1523.63262,45,0,0
129.99153,1848.639719,50,0,0
114.972827,335.9239723,65,0,0
159.979358,1358.491904,70,0,0
164.964681,1714.901159,47,1,0
159.965581,1354.241904,39,0,0
160.00128,513.2164776,84,0,0
149.959755,639.7187297,83,1,0
222.628057,1444.321124,31,1,1
204.963371,854.4182496,62,0,1
172.44408,829.2707102,85,0,1
220.114868,1211.247766,40,1,1
149.97755,1096.234525,67,0,1
270.160419,2312.167935,33,1,1
152.44408,3088.823891,77,0,1
232.62403,1810.319743,20,1,1
222.632554,1479.639912,75,1,1
262.610632,2208.615485,24,1,1
179.979358,1232.913132,73,0,0
165.01134,928.4588213,63,1,0
242.628057,1779.049529,67,1,1
182.465269,1039.252532,44,1,0
92.455141,1262.21298,52,0,0
179.965581,993.6031859,61,0,0
255.119794,1590.329883,41,1,1
182.460772,1048.128938,49,1,0
127.458638,2678.418264,45,0,1
207.609354,993.8801154,39,1,1
117.468591,2268.392356,52,0,0
95.005709,610.2580075,42,0,0
217.470195,1243.779967,29,1,0
245.146969,1460.586413,52,1,1
177.48762,1774.586726,80,1,0
172.44408,1022.516053,83,0,1
232.652038,805.1476345,73,1,1
147.442069,1173.669727,34,1,0
