Age,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes
46,7.607663559,11,0,0,1.092361222,200.165175,768.0874545,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
50,7.442789019,10,2,1,20.13981517,149.937833,2426.030626,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
24,13.04429298,18,1,0,24.64873861,240.114868,2660.503932,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
20,14.89762162,17,0,0,9.677739656,127.495766,1129.549713,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
29,13.79387475,13,2,1,9.82814183,187.609354,1771.286466,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
31,15.66367593,6,1,0,7.832238337,169.992756,943.3391244,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0
72,8.513410306,13,3,0,19.45250317,192.456745,1907.226083,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
71,8.265002035,10,1,0,14.34766616,120.004928,1885.939118,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
32,8.6026551,11,0,0,2.257358355,195.006206,631.7435653,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0
33,6.03993035,15,1,0,2.358129018,139.95684,562.6095219,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
67,14.6040829,12,3,0,4.650578623,114.983787,593.8572264,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
66,7.274007029,13,1,1,3.721772616,207.638588,777.3060718,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0
21,8.913898759,12,4,0,3.76663012,187.609354,1393.202392,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
61,11.59313893,13,0,2,4.151256695,134.950905,393.6524652,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1
75,8.294186076,13,0,0,2.188918771,192.470522,409.7486664,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1
63,15.19664016,9,1,0,13.85488928,222.628057,2138.107161,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
68,5.083995994,3,1,0,3.273341151,162.468917,443.984031,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1
32,6.942719201,7,1,1,19.75096265,159.979358,2481.385603,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
76,9.834012571,7,1,0,18.38404445,184.979684,2233.567181,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1
29,11.0596826,13,0,0,4.672610857,245.145743,1158.91369,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1
83,8.834079073,17,0,1,6.796299371,124.97808,529.40733,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
23,5.271228601,14,1,1,12.97632235,187.484705,1956.7337,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0
80,9.394961367,15,1,0,20.31163945,162.500692,2056.386979,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1
20,14.4754365,11,1,1,6.998814446,182.467607,1067.373076,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
69,10.68311773,12,1,1,14.46288204,222.660939,1806.135733,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
32,13.79409442,10,1,0,11.13472066,182.467607,1397.701335,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
53,12.40165307,19,1,0,2.542296644,220.161527,808.4305471,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1
25,10.24782033,9,1,0,17.22596021,169.937833,1886.531937,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
69,14.86100819,16,0,2,22.79214163,204.963371,2294.781131,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
71,6.716953195,10,2,1,3.823689744,204.963371,826.3438621,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
53,8.124258176,18,1,0,10.77094687,245.128318,2072.564168,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0
56,14.60903837,11,0,2,13.08671185,172.473314,1436.793746,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1
42,12.65015936,9,2,2,14.76468813,172.456745,1963.332683,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
33,12.0281501,14,0,0,9.473091121,194.976769,1324.164906,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
47,15.68043093,16,1,0,5.197446331,137.439154,704.9375603,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
48,11.30421466,18,3,1,6.577552683,192.470522,888.6517305,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1
63,10.26646787,10,1,0,3.174571918,159.951231,377.0810282,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
40,7.56618217,9,0,0,17.88002366,112.455141,1606.489936,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
67,10.40677369,14,2,0,13.12190056,174.961766,1431.409396,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1
56,7.146124361,13,3,0,23.34617699,162.452604,2253.85247,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
24,9.807530479,10,1,0,6.311709178,137.483594,1353.29384,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1
79,10.61217014,12,3,0,12.58298231,275.133571,1701.457566,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
61,5.785085772,16,1,1,7.120096363,127.442069,1290.737183,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
38,9.062879297,11,2,0,9.344886869,210.138,1403.270091,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
28,16.54443477,13,1,0,22.37815032,147.456419,2603.903672,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
44,4.539566699,8,2,0,4.799514433,242.657291,1256.287854,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1
65,7.251198724,14,2,0,10.04672315,114.983787,980.9935923,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
35,8.943293567,15,2,1,8.156552837,187.656013,1347.869205,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1
31,12.57884215,9,3,1,7.992791229,149.991327,1127.267848,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0
34,11.64836306,11,0,1,7.231032028,124.960655,1269.836202,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
68,6.076260652,13,0,0,4.627672042,220.161527,1038.745378,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1
62,11.75681641,9,0,0,10.05306287,172.48852,1531.155367,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
52,9.173739977,14,0,1,4.171044392,120.004928,991.2441024,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
32,8.353693631,11,4,0,4.568682641,220.161527,1244.296865,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1
47,10.74539526,10,0,1,6.085030507,139.965008,1162.332926,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
66,11.36323648,12,1,1,2.730250735,159.951231,577.1157824,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
70,2.310584634,14,1,0,8.574901206,184.949594,1442.974877,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
41,5.290318715,10,0,0,9.743201772,252.637807,1577.208717,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1
59,5.258274954,8,1,0,9.482919033,112.455141,886.9398744,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
46,7.157580014,12,0,0,8.447988841,179.979358,1065.06443,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1
70,2.120350511,17,0,0,6.365998533,202.443347,951.886985,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1
89,4.978546291,12,2,0,7.251397592,197.472533,1404.435534,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1
75,6.547676875,10,3,1,14.64011644,255.155493,1925.911722,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1
26,7.410590719,9,0,1,11.71637124,174.976769,1805.011298,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
25,11.39765385,8,1,1,4.13273503,169.992756,700.7343179,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1
84,11.29945603,14,1,0,2.887429547,192.440432,513.237305,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
69,11.30748265,15,0,2,3.303030246,182.460772,717.3876564,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0
31,10.31551212,11,2,1,5.15825129,139.965008,1313.492851,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
76,13.71555406,14,1,0,3.237560234,137.461553,819.4195269,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
75,15.40917963,15,2,0,2.733109234,217.472533,882.1160656,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0
74,11.9664542,17,1,0,3.180102025,210.138,724.7803356,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
49,10.18046877,10,2,0,15.85983755,104.964303,1829.270014,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
47,14.01485542,16,1,1,11.73724209,262.610632,1668.199119,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
20,14.62784306,17,2,0,7.006240694,152.488401,1124.353152,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0
26,10.90517581,10,2,0,5.562130367,174.974431,1316.239744,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
72,8.894475174,8,0,1,14.53027663,220.118516,1637.201426,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
41,10.50187888,13,0,0,5.905906389,162.452604,951.8524406,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
26,12.34250072,12,2,1,3.260462654,184.961033,1248.097652,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
55,10.29380879,12,3,0,18.91276578,217.483972,2220.255405,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1
46,8.512650562,11,2,1,14.25617986,220.118516,1669.202417,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0
87,7.82671592,13,1,2,7.983887266,187.642236,990.0555076,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
39,6.985590245,9,2,1,5.969967132,174.961766,967.9819136,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1
81,11.40449185,12,0,0,19.95277818,252.637807,2190.259876,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1
83,10.44249511,13,1,0,14.85781115,130.024412,1445.752781,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0
50,15.38627887,12,2,0,2.600063739,162.482694,528.6553088,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
87,10.68024546,13,2,1,11.92299244,182.467607,1296.481055,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
76,10.62439366,13,0,0,5.972864167,139.934918,1195.393037,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
25,10.91642397,13,1,0,10.87555535,200.165175,1700.121992,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0
34,8.580626195,14,0,0,16.00330155,202.682861,2120.673828,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0
46,8.996933306,11,0,1,12.63074989,159.951231,1238.421347,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
73,7.602570192,7,2,0,8.4944392,149.948316,847.110799,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1
57,9.217689334,12,1,1,8.044444101,149.959755,1112.937102,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
58,9.591529444,14,0,1,12.07358377,137.469817,1623.045026,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
70,13.36027908,12,0,0,10.21634248,187.656013,1479.730181,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1
53,4.372034777,7,1,0,15.50354683,164.985293,2144.735024,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
31,10.59285179,11,0,3,13.88004531,159.965008,1522.289512,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
38,12.81260566,10,1,0,19.48900163,172.462354,1974.780054,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1
26,3.767298987,11,0,0,10.01771765,204.949594,1261.177198,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0
44,17.56798903,14,2,0,7.34059599,147.473844,939.7181324,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
66,11.2369761,11,3,2,12.64742067,162.471255,1357.062854,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0
58,8.54892416,15,0,1,8.850426839,119.95684,1456.887443,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
51,6.094109902,11,2,0,3.701557118,207.609354,937.5863866,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
34,13.9077275,14,1,0,2.976033785,194.999168,830.1193011,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1
87,7.905333122,14,1,0,5.522376826,174.975543,737.8564608,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1
67,12.53830949,9,2,1,15.64596698,240.114868,1781.854862,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
59,12.8219418,12,1,1,23.00764441,240.114868,2464.577489,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
23,8.941553742,10,0,0,17.24924155,139.983006,2392.203409,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1
42,10.51043963,12,0,0,13.01107597,240.114868,1664.19271,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1
24,11.86384439,11,3,0,5.104082209,209.993134,1433.616898,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
81,10.76051016,10,3,0,3.521499924,147.456419,823.4933243,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
78,11.05420024,14,0,0,8.08137067,107.495766,1468.357421,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
51,8.174495258,8,5,0,1.875430489,152.502178,590.7765801,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1
70,10.05388383,12,2,0,5.587484456,79.978861,418.6206885,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
87,7.045552801,13,2,0,7.007695148,142.482694,1181.991846,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
46,8.957297136,14,1,0,1.408375942,117.439154,733.4036934,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
56,15.74015572,14,2,1,11.64983735,220.132293,1719.173387,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1
44,13.41209586,11,3,0,2.964559883,152.455519,1205.956363,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
33,14.89835355,9,2,1,10.25635754,174.961766,1261.032763,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0
19,13.62135046,14,1,1,3.892407013,202.443347,741.7766988,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1
31,14.95912113,12,2,1,3.226996711,210.12704,932.6084359,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0
34,11.741245,9,0,0,15.87685513,139.979239,1708.614019,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0
43,7.765121655,11,0,1,5.874064017,139.965008,1363.58603,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
82,7.130431693,5,1,0,3.756359276,137.439154,472.1057019,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
36,8.359515606,13,1,0,2.905283283,102.474625,558.2340556,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
48,9.42799205,17,3,0,1.474810061,252.637807,815.194738,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1
52,10.95510131,11,0,1,18.56165869,194.999168,2007.303617,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1
35,10.8621377,16,1,0,12.39088509,242.610632,2088.48083,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0
83,7.352533505,15,2,0,14.17192333,127.458638,1430.761492,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
20,11.38860234,14,1,0,3.86023041,129.976324,822.3008694,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1
25,9.580144161,13,4,0,17.72593456,240.114868,2059.200998,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0
88,10.79191234,18,1,0,3.043063167,174.975543,617.542543,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1
54,9.982341124,8,0,0,5.827112819,169.944668,758.4775985,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
